Crânio;Pele;TECIDO;Caixa;NROTR;NROCT;NROCAMPO;NROPUC;GENERO;ESPECIE;SEXO;PESO;HORAC;DIA;MES;ANO;NROLOCAL;LOCAL;BLOCOPOP;TERRENO;FORMACAO;S LATITUDE;W LONGITUDE;ALTITUDE;COLETORES;CORPOmm;CAUDAmm;PESEMGARRA;INCISIVO;PECOMGARRA;VAGINA;LEITE;ESTADOREPROD;2N;NF;TESTICULOS;COMPTESDIR;COMPTESESQ;DIATESDIR;DIATESESQ;NROEMB;UTERODIR;UTEROESQ;EMB1;EMB2;EMB3;EMB4;PESOCRSTAL;NRODIPLOI;NA;METAS;ACROS;PAR1;PAR2;BANDAG;BANDAC;DAPI;NOR;MITOSE;MEIOSE;COMSINAP;CHROMOMIC;COMPCRANIO;CCONDBASAL;COMPNASAL;LNASAL;LBIMEATAL;LBIZIGOMAT;LMASTOIDE;LFRONTAL;LROSTRAL;LCXCRANIAN;FORPORBITA;CCONDNASAL;DIASTEMA;CBULA;LBULA;LINCISIVO;COMPIVPMOL;CSMOLAR;LMANDIBULA;CPALATAL;ISQUION;CPUBIS;CILEUM;LPUBIS;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;Field1;GOT-1;GOT-2;AAT1;AAT2;LAP;PGI;IDH1;MDH1;MDH2;SOD;PGM1;PGM2;PGM3;ACP;ES-4;ES6;PGD;AL;TF;PT-1;PT-2;PT-3;HB;GLO-I;FIGADO;RIM;CORACAO;ESTÔMAGO;MUSCULO;PARASITAS;RECAPTURA1;RECAPTURA2;OBSERVAÇÕES
;;caixa 2;;TR2244;CF.53;;;Ctenomys;minutus;m;195;15:05;11;12;2000;7;Bujuru - 20 KM sul;;;;;;;JRM, TROF, LS;179;80;37;3.7;;/;;;49;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;x;x;;;
;;caixa 01 ou 2;;TR2245;CF.54;;;Ctenomys;minutus;f;200;15:05;11;12;2000;7;Bujuru - 20 KM sul;;;;;;;JRM, TROF, LS;171;78;34;2.9;;perf;;;49;;;;;;;;;;;;;;;;;;;;;;;;;x;/;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;x;/;;;
;;caixa 2 ou 01;;TR2246;CF.55;;;Ctenomys;minutus;f  ;200;15:10;11;12;2000;7;Bujuru - 20 KM sul;;;;;;;JRM, TROF, LS;174;74;34;3;;n perf;;;50;;;;;;;;;;;;;;;;;;;;;;;;;x;/;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;x;/;;;
;;caixa 2;;TR2247;CF.56;;;Ctenomys;minutus;m;230;15:15;11;12;2000;6;Bujuru - 20 KM sul;;;;;;;JRM, TROF, LS;191;91;37;3.2;;cicatrizada;;;49;;;;;;;;;;;;;;;;;;;;;;;;;x;/;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;x;x;;;
;;caixa 01 ou 2;;TR2248;CF.57;;;Ctenomys;minutus;f;200;12:15;11;12;2000;7;Bujuru - 20 KM sul;;;;;;;JRM, TROF, LS;178;66;36;3.4;;/;;;50;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;x;/;;;
;;caixa 2;;TR2249;CF.58;;;Ctenomys;minutus;m;245;16:30;12;12;2000;8;Tavares - 2;;;;;;;CCF, JRM, TROF, LS;176,8;91.2;35;2.65;;/;;;47;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;x;x;;;
;;caixa 2;;TR2250;CF.59;;;Ctenomys;minutus;f;197;18:00;12;12;2000;8;Tavares - 2;;;;;;;CCF, JRM, TROF, LS;180,8;77.1;33.4;2.6;;n perf;;;47;;;;;;;;;;;;;;;;;;;;;;;;;x;/;/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x;x;x;;x;/;;;
;;caixa 01;;TR2251;CF.60;;;Ctenomys;minutus;f;165;10:50;30;5;2001;8;Tavares - 2;;;;;;;CCF, JRM, TROF, LS;182,7;74.24;30.15;2.6;;cicatrizada;;;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;caixa 01;;TR2252;CF.61;;;Ctenomys;minutus;f;195;10:55;30;5;2001;8;Tavares - 2;;;;;;;CCF, JRM, TROF, LS;188;71;32.16;2.8;;cicatrizada;;;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;caixa 01;;TR2253;CF.62;;;Ctenomys;minutus;f;150;11:17;30;5;2001;8;Tavares - 2;;;;;;;CCF, JRM, TROF, LS;162;75;34.32;2.78;;cicatrizada;;;/;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
