Crânio;Pele;TECIDO;Caixa;NROTR;NROCT;NROCAMPO;NROPUC;GENERO;ESPECIE;SEXO;PESO;HORAC;DIA;MES;ANO;NROLOCAL;LOCAL;BLOCOPOP;TERRENO;FORMACAO;S LATITUDE;W LONGITUDE;ALTITUDE;COLETORES;CORPOmm;CAUDAmm;PESEMGARRA;INCISIVO;PECOMGARRA;VAGINA;LEITE;ESTADOREPROD;2N;NF;TESTICULOS;COMPTESDIR;COMPTESESQ;DIATESDIR;DIATESESQ;NROEMB;UTERODIR;UTEROESQ;EMB1;EMB2;EMB3;EMB4;PESOCRSTAL;NRODIPLOI;NA;METAS;ACROS;PAR1;PAR2;BANDAG;BANDAC;DAPI;NOR;MITOSE;MEIOSE;COMSINAP;CHROMOMIC;COMPCRANIO;CCONDBASAL;COMPNASAL;LNASAL;LBIMEATAL;LBIZIGOMAT;LMASTOIDE;LFRONTAL;LROSTRAL;LCXCRANIAN;FORPORBITA;CCONDNASAL;DIASTEMA;CBULA;LBULA;LINCISIVO;COMPIVPMOL;CSMOLAR;LMANDIBULA;CPALATAL;ISQUION;CPUBIS;CILEUM;LPUBIS;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;Field1;GOT-1;GOT-2;AAT1;AAT2;LAP;PGI;IDH1;MDH1;MDH2;SOD;PGM1;PGM2;PGM3;ACP;ES-4;ES6;PGD;AL;TF;PT-1;PT-2;PT-3;HB;GLO-I;FIGADO;RIM;CORACAO;ESTÔMAGO;MUSCULO;PARASITAS;RECAPTURA1;RECAPTURA2;OBSERVAÇÕES
Dep. Genética;;caixa Thales 3;C, D;;TR.001;0000000;;Ctenomys;minutus;f;230;;11;7;1985;33;Praia da Jaguaruna;;Dunas;;0;0;0;Freitas & Oliveira;270;72;34;;40;+;;;;;;0;0;0;0;2;1;1;0;0;0;0;0;50;76;28;20;;;-;+;-;-;;-;;-;44,90;42,90;16,50; 6,20;26,40;28,00;26,40; 9,80;10,50;18,70;10,25;29,90;12,30;15,60; 7,45; 3,50; 3,70; 9,65;30,90;19,70;10.55;18.7;25.5;1.6;5.5;14.2;12.2;13.8;16;24;25.4;25.9;30.4;33.6;;;;b;c;a;b;a;c;b;;a;b;;b;;b;;;;;;;;;+;+;+;;;;;;
Dep. Genética;;caixa 11;H, L;;TR.002;0000000;;Ctenomys;minutus;f;160;;11;7;1985;33;Praia de Jaguaruna;;Dunas;;0;0;0;Freitas & Oliveira;235;65;34;;38;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.012;49;76;29;18;;;+;+;-;-;;-;;-;42,05;40,60;14,50; 5,30;25,60;26,85;25,85; 9,00;10,05;17,70; 9,40;28,00;11,05;14,25; 7,60; 3,00; 3,60; 8,75;31,30;19,30;9;13.6;20.3;1.5;5.5;12.6;11;13.3;15.35;22.4;23.1;24.6;28.3;31.5;;;;b;c;b;b;a;b;c;;a;b;;b;;b;;;;;;;;;+;+;+;;+;;;;
;;caixa 11;B, C, H, L;;TR.003;0000000;;Ctenomys;minutus;f;200;;11;7;1985;33;Praia de Jaguaruna;;Dunas;;0;0;0;Freitas & Oliveira;265;70;31;;36;+;;;;;;0;0;0;0;2;1;1;0;0;0;0;0.02;49;76;29;18;;;-;+;-;-;;-;;-;43,00;40,80;16,25; 6,40;21,10;27,35;25,75; 9,15;12,00;17,60; 9,70;27,20;12,05;15,10; 6,85; 3,00; 3,75; 9,50;33,30;20,10;10.15;17.45;24.2;1.45;5.85;14.2;10.4;13.8;15.6;23.2;24.25;25.4;29.6;32.2;;;;b;c;c;b;a;b;c;;a;b;;b;;b;;;;;;;;;+;+;+;;+;;;;
Dep. Genética;;caixa 11;C, H, I, L;;TR.004;0000000;;Ctenomys;minutus;f;225;;11;7;1985;36;Jaguaruna;;Campo arenoso;;0;0;0;Freitas & Oliveira;262;68;33;;36;+;;;;;;0;0;0;0;2;1;1;0;0;0;0;0.017;50;76;28;20;;;-;+;-;-;;-;;-;45,45;43,30;16,40; 6,10;26,50;27,85;26,50; 9,35;10,75;18,20; 9,20;30,25;12,65;15,50; 7,00; 3,00; 3,70; 9,90;35,20;21,10;11.25;18.3;25;1.7;6;13.8;14.4;15;16.2;22.75;23.8;25;29.85;32.4;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;;+;;;;
Dep. Genética;;caixa 11;B, C, E;;TR.005;0000000;;Ctenomys;minutus;m;310;;11;7;1985;36;Jaguaruna;;Campo;;0;0;0;Freitas & Oliveira;286;79;38;;41;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.019;50;76;20;28;;;-;+;-;-;;+;;-;48,40;45,70;16,90; 6,65;28,60;29,40;25,65;10,60;12,35;18,15;10,95;31,15;14,85;15,90; 6,60; 3,55; 3,75; 9,35;35,80;23,15;12.55;16.5;21;2.3;6.65;16.12;10.5;14.4;16.3;25.6;26.8;29.25;33.35;35.5;;;;;;;;;;;;;;;;;;;;;;;;;;+;;+;;+;;;;
Dep. Genética;;caixa 11;C, H;;TR.006;0000000;;Ctenomys;minutus;m;280;;11;7;1985;36;Jaguaruna;;Campo;;0;0;0;Freitas & Oliveira;290;80;35;;40;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.023;50;75;27;21;;;+;+;-;-;;+;;-;51,60;48,30;17,30; 6,50;29,30;30,70;29,60;12,00;12,95;18,15;11,15;33,70;14,10;17,25; 7,70; 4,00; 4,00;10,25;38,85;23,80;12;13.25;28.05;2.9;7.05;15.95;16.7;16;18.1;27.2;29.3;29;34.4;36.6;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;;;;;;
Dep. Genética;;caixa 14;C, K;;TR.007;0000000;;Ctenomys;minutus;m;300;;11;7;;33;Praia de Jaguaruna;;Dunas;;0;0;0;Freitas & Oliveirara;273;70;34;;39;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.0195;49;76;29;18;;;-;+;-;-;;-;;-;48,75;47,50;19,30; 7,90;29,70;31,60;29,10;11,50;12,50;18,80;11,30;32,00;13,70;16,30; 7,30; 3,85; 4,10;10,00;35,60;23,50;12;17.2;25.2;2.6;7.3;11.7;16.3;16.1;0;25;0;28.35;34;37.25;;;;b;c;b;b;a;a;a;;a;b;;b;;c;;;;;;;;;+;+;+;;;;;;
Dep. Genética;;caixa 11;E, G;;TR.008;0000000;;Ctenomys;minutus;f;250;;11;7;1985;36;Jaguaruna;;Campo;;0;0;0;Freitas & Oliveirara;268;70;34;;38;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.017;50;77;29;19;;;-;-;-;-;;-;;-;44,60;42,70;16,10; 6,00;25,75;28,20;26,20; 9,55;11,10;17,60;10,00;29,90;11,30;15,55; 7,55; 3,05; 3,90; 9,70;34,20;20,30;11.95;18.05;25.05;2.15;5.9;13.65;11.75;14.45;16;23.2;24.25;25.25;29.65;31.55;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;;+;;;;
Dep. Genética;;;;;TR.009;0000000;;Ctenomys;lami;f;250;;0;8;1985;18;Coxilha das Lombas;D;Campo;Qbd1;2955;5030;30;Freitas & Oliveirara;275;83;34;;38;-;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.023;56;80;26;28;AA;MM;+;+;-;-;;-;;-;46,20;44,55;17,75; 6,65;26,65;27,55;25,90; 9,00;11,35;18,30; 9,75;30,60;13,95;15,10; 8,30; 2,90; 3,70; 9,85;34,90;22,40;0;0;0;0;5.6;14.25;12.7;14.35;16;24.3;0;25.3;30.5;32.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;;;;TR.010;0000000;;Ctenomys;lami;f;0;;0;8;1985;18;Coxilha das Lombas;D;Campo;Qbd1;2955;5030;30;Freitas & Oliveira;280;81;35;;39;+;;;;;;0;0;0;0;3;2;1;0;0;0;0;0.024;0;0;0;0;;;-;-;-;-;;-;;-;46,80;45,20;17,85; 6,45;27,75;28,65;27,45; 9,90;11,25;18,50; 9,80;31,20;13,35;16,15; 8,50; 2,95; 4,15;10,05;36,05;21,70;11.35;19;25.25;1.85;6;14.35;12;15.2;17;24.8;25.25;26.1;31.6;34.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;;;;TR.011;0000000;;Ctenomys;lami;f;170;;0;8;1985;18;Coxilha das Lombas;D;Campo;Qbd1;2955;5030;30;Freitas & Oliveira;270;78;32;;37;+;;;;;;0;0;0;0;3;2;1;0;0;0;0;0.024;55;77;24;29;MA;MM;+;-;-;-;;-;;-;45,15;43,10;16,20; 6,45;25,30;26,60;26,60; 8,95;11,05;17,55; 9,45;29,85;12,70;15,40; 7,30; 3,00; 3,95; 9,60;32,60;20,40;11.2;17.9;24.8;1.7;13.8;15.95;11.25;13.85;15.8;23.2;23.8;24.9;29.5;32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;;;;TR.012;0000000;;Ctenomys;lami;f;180;;0;8;1985;18;Coxilha das Lombas;D;Campo;Qbd1;2955;5030;30;Freitas & Oliveira;260;77;32;;36;+;;;;;;0;0;0;0;1;1;0;0;0;0;0;0.017;56;78;25;28;AA;MM;+;+;-;-;;-;;-;44,60;43,10;16,40; 6,60;26,70;28,25;26,45; 8,90;11,25;18,60; 9,75;30,00;13,00;15,25; 8,30; 3,10; 3,80; 9,75;33,80;21,10;11.35;16.3;24.4;1.15;6.25;19;12.4;14.5;15.6;23.8;24.45;25.5;30.35;32.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;;;;TR.013;0000000;;Ctenomys;lami;f;180;;0;8;1985;18;Coxilha das Lombas;D;Campo;Qbd1;2955;5030;30;Freitas & Oliveira;270;80;35;;30;-;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.019;55;78;25;28;MA;MM;+;+;-;-;;-;;-;45,40;43,80;17,20; 6,20;24,40;27,70;27,10; 8,80;10,70;18,10; 9,50;30,45;12,70;16,50; 8,00; 3,00; 4,05; 9,80;33,90;20,60;10.9;16.5;23.5;1.35;5.7;14.5;11.2;15;16.7;23.8;25;24.85;30.2;32.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;;;;TR.014;0000000;;Ctenomys;lami;f;185;;0;8;1985;18;Coxilha das Lombas;D;Campo;Qbd1;2955;5030;30;Freitas & Oliveira;265;70;32;;35;+;;;;;;0;0;0;0;2;2;0;0;0;0;0;0.015;56;80;26;28;AA;MM;+;-;-;-;;+;;-;44,80;42,90;15,90; 6,00;25,75;26,60;25,60; 8,75;11,00;17,20; 9,20;29,30;14,00;15,20; 7,50; 3,00; 3,90; 9,20;32,25;21,60;10.45;16.75;23.25;1.3;14.3;5.6;10.5;13.3;15.3;23.6;24.2;24.7;29.6;32.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;;;;TR.015;0000000;;Ctenomys;lami;m;200;;0;8;1985;18;Coxilha das Lombas;D;Campo;Qbd1;2955;5030;30;Freitas & oliveira;285;87;37;;42;-;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.021;0;0;0;0;;;-;-;-;-;;-;;-;50,40;47,70;19,60; 6,85;30,50;30,50;29,80;10,75;13,40;19,10;11,00;33,30;15,00;17,00; 9,05; 3,50; 4,30;10,45;38,30;23,50;12.4;17.5;28;2.4;7.1;6.6;12.8;15.55;17.8;27.7;29.5;28;33.9;36.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;;;;TR.016;0000000;;Ctenomys;lami;m;214;;0;8;1985;18;Coxilha das Lombas;D;Campo;Qbd1;2955;5030;30;Freitas & Oliveira;281;85;36;;40;-;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.021;55;78;25;28;MA;MM;+;+;-;-;;-;;-;48,30;45,60;17,00; 6,70;27,90;28,75;27,35; 9,10;12,00;18,45;10,45;31,65;14,50;16,20; 8,10; 3,50; 4,20; 9,40;35,50;22,80;11.7;17.2;25.55;2.05;7.05;14.4;11.3;14.6;16.3;25.3;26.3;26.7;32;33.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;;;;TR.017;0000000;;Ctenomys;lami;m;215;;0;8;1985;18;Coxilha das Lombas;D;Campo;Qbd1;2955;5030;30;Freitas & Oliveira;275;80;35;;40;-;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.017;56;80;26;28;AA;MM;+;+;-;-;;+;;-;48,55;45,90;18,50; 6,70;28,10;29,70;28,20;10,45;12,10;19,00;10,35;31,70;14,25;15,95; 7,90; 3,70; 4,30;10,40;36,20;23,00;12;16.7;25.1;2;6.9;14.4;11.6;14.1;16.6;25.4;26.7;26.65;32.5;34.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;caixa 14;;;TR.018;0000000;;Ctenomys;lami;m;255;;0;8;1985;18;Coxilha das Lombas;D;Campo;Qbd1;2955;5030;30;Freitas & Oliveira;305;89;37;;42;-;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.027;56;82;28;26;AA;MM;+;+;-;-;;-;;-;55,10;49,20;19,55; 7,45;31,40;32,80;29,80;10,90;13,85;14,70;11,70;34,80;15,20;16,60; 8,15; 3,85; 4,40;10,50;40,20;23,70;13;19.9;28.3;2.5;6.6;7.7;12.4;15.9;17.7;26.6;27.5;27.7;33.5;36.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;;;;TR.019;0000000;;Ctenomys;lami;m;220;;0;8;1985;18;Coxilha das Lombas;D;Campo;Qbd1;2955;5030;30;Freitas & Oliveira;280;85;35;;40;-;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.015;56;80;26;28;AA;MM;+;+;-;-;;+;;-;48,70;46,10;18,40; 5,80;28,30;29,40;27,70;10,10;12,60;19,00;11,00;32,10;14,15;16,40; 8,00; 3,45; 4,35;10,05;36,00;22,50;12.1;16.8;25.5;2.2;5.5;15;13.4;14.7;17;21.1;26.8;27.4;30.5;35.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;caixa 11;A, C, D;;TR.020;0000000;;Ctenomys;minutus;f;165;;0;9;1985;19;Margem N da Lagoa Emboaba;;Campo arenoso;Qbd3;2955;5015;11;Freitas & Oliveira;225;76;32;;36;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.022;46;74;30;14;;;+;+;-;-;;-;;-;43,27;38,33;15,25; 6,47;25,21;26,32;23,38; 7,93; 9,72;17,59; 9,17;28,58;12,45;13,71; 7,27; 2,51; 3,71; 9,52;33,81;21,40;0;0;0;0;14.7;5.2;11;12.45;14.4;0;0;25.5;29.5;32;;;;b;c;c;b;a;b;c;;a;b;;b;;c;;;;;;;;;;;;;;;;;
Dep. Genética;;caixa 11;C;;TR.021;0000000;;Ctenomys;minutus;m;247;;0;9;1985;19;Margem N da Lagoa Emboaba;;Campo arenoso;Qbd3;2955;5015;11;Freitas & Oliveira;275;80;28;;33;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;46;76;32;12;;;-;+;-;-;;-;;-;46,53;41,55;16,34; 6,46;26,84;28,62;26,97; 9,66;10,95;17,69; 9,84;30,02;13,40;14,10; 7,17; 2,59; 3,84; 9,63;37,10;22,31;10.9;17;25;2.3;6.1;14.4;10.5;13.5;15.9;24.65;25;26.6;32.7;33;;;;b;c;b;b;a;a;c;;a;b;;b;;d;;;;;;;;;+;+;+;;;;;;
Dep. Genética;;caixa 14;;;TR.022;0000000;;Ctenomys;minutus;m;230;0;0;9;1985;19;Margem N da Lagoa Emboaba;;Campo arenoso;Qbd3;2955;5015;11;Freitas & Oliveira;275;87;32;;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;46;76;0;0;;;;;;;;;;;46,87;40,70;17,02; 6,84;26,76;27,64;25,47; 8,80;12,04;17,28;10,00;29,71;13,92;14,62; 7,63; 2,93; 3,98; 9,70;36,24;21,74;11.9;16.45;24.4;2.4;15.5;6.85;11;14.3;15.45;24.2;25;26.55;30.7;33.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;caixa 14;A, C, D, L;;TR.023;0000000;;Ctenomys;minutus;m;270;0;0;9;1985;19;Margem N da Lagoa Emboaba;;;Qbd3;2955;5015;11;;230;35;31;;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;46;76;0;0;;;;;;;;;;;49,39;43,32;16,85; 7,57;28,50;29,72;28,09; 9,57;11,22;17,97;10,53;32,19;14,40;14,82; 7,52; 3,04; 3,96; 9,46;38,63;23,30;13;18.1;27.2;2.4;6.75;15.3;11.15;15.3;16.6;26.1;26.5;27.7;33.8;35.4;;;;b;c;c;b;a;ab;c;;a;b;;b;;b;;;;;;;;;+;+;+;;;;;;
Dep. Genética;;caixa 11;C, G, H;;TR.024;0000000;;Ctenomys;minutus;m;250;;0;9;1985;19;Margem N da Lagoa Emboaba;;Campo arenoso;Qbd3;2955;5015;11;Freitas & Oliveira;280;82;33;;37;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.018;46;74;30;14;;;+;+;-;-;;-;;-;47,98;42,91;17,86; 6,91;27,18;28,44;27,17; 9,01;11,81;17,69;10,03;30,71;13,76;13,76; 7,72; 2,83; 4,02; 9,42;37,56;21,77;12;16.1;26;2.25;6.1;13.8;11;14.9;15.05;24.55;24.8;26.1;31.75;33.15;;;;b;e;c;b;a;b;c;;a;a;;b;;c;;;;;;;;;+;+;+;;+;;;;
;;caixa 14;;;TR.027;0000000;;Ctenomys;flamarioni;m;250;14:50;25;11;1985;20;9.4Km a N do Ceclimar;;Dunas;Qbd4;2955;5010;5;TRO Freitas;0;0;0;;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;48;74;28;18;;;+;+;-;-;;+;;-; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00; 0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;+;;+;;;;;;
;;caixa 14;;;TR.028;0000000;;Ctenomys;flamarioni;f;170;15:50;25;11;1985;20;9.4Km ao N do Ceclimar;;Dunas;Qbd4;2955;5010;5;TRO Freitas;265;90;33;;40;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.031;48;74;28;18;;;+;+;-;-;;-;;-;45,20;43,70;17,60; 6,80;26,80; 0,00;24,30; 8,10;11,05;16,60; 8,55;31,20;12,70;16,20; 6,60; 3,20; 3,70;10,10;33,30;20,50;0;0;0;0;5.1;13.8;0;13.1;0;0;0;25;30.2;32.05;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;;;;;;
;;caixa 14;;;TR.029;0000000;;Ctenomys;flamarioni;m;270;9.5;0;0;0;21;Cidreira;;;Qbd4;3005;5015;10;;280;87;38;;0;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;49,40;46,85;20,20; 7,80;29,15;30,00;27,30; 8,85;12,00;17,55;10,40;32,30;13,70;17,10; 7,15; 3,25; 3,80;10,00;38,70;22,90;11.25;16.75;24.6;1.75;6.9;16.3;10.4;14;15.9;25.6;26.5;28.15;33.5;35.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;caixa 14;;;TR.030;0000000;;Ctenomys;flamarioni;m;250;9:00;26;11;1985;21;Cidreira;;Dunas;Qbd4;3005;5015;10;Freitas & Zanchin;295;96;47;;40;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;48;74;28;18;;;+;+;-;-;;-;;-;50,70;48,70;20,30; 7,50;29,25;28,85;27,75; 8,95;12,45;17,15; 9,80;33,30;14,20;18,05; 7,70; 3,50; 3,70;10,20;38,75;23,25;11.3;18.2;26.55;1.65;6.9;15.9;10.7;14.95;16.6;26.65;27.6;28.5;34.05;36;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;;+;;;;
;;caixa 14;H;;TR.031;0000000;;Ctenomys;flamarioni;m;85;9:25;26;11;1985;21;Cidreira;;Dunas;Qbd4;3005;5015;10;Freitas & Zanchin;222;76;32;;37;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.0125;48;76;30;16;;;+;+;-;-;;-;;-;37,40;36,00;15,50; 5,70;27,75;22,40;22,00; 7,60; 9,70;15,40; 6,90;25,35; 8,85;13,10; 6,90; 2,70; 3,00; 3,10;28,30;16,50;0;0;0;0;11.85;4.4;13.4;10.2;11.9;19.3;20.45;20.6;24.85;25.5;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;+;;;;
;;;;;TR.032;0000000;;Ctenomys;flamarioni;f;200;11:00;26;11;1985;21;Cidreira;;Dunas;Qbd4;3005;5015;10;Freitas & Zanchin;275;81;36;;41;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.022;48;70;24;22;;;+;+;-;-;;-;;-;45,50;43,30;18,45; 6,70;27,60;26,80;25,50; 8,15;11,05;17,10; 9,00;30,60;12,05;16,30; 7,50; 2,60; 3,50; 9,70;35,00;20,70;10.5;17.7;25;1.4;5.5;14.1;9.5;13;15;24.6;25.7;25.8;31.1;32.6;;;;;;;;;;;;;;;;;;;;;;;;;;+;;+;;+;;;;
Dep. Genética;;caixa Thales 3/caixa 11;C, D;;TR.033;0000000;;Ctenomys;minutus;f;200;17:00;26;11;1985;22;Tramandai(Lag Caieira);;Campo arenoso;Qbd4;2950;5010;6;Freitas & D. Moreira;260;80;31;;35;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.015;46;76;32;12;;;+;-;-;-;;-;;-;43,72;38,63;15,93; 6,19;26,12;27,19;24,40; 8,90;10,43;17,84; 9,22;28,26;12,54;12,77; 7,17; 2,66; 3,71; 8,80;33,74;20,74;11;17;24.8;2.4;13.8;6.1;9.7;12.9;14.9;23.1;23.8;24.9;28.9;32.2;;;;b;c;b;b;a;a;b;;a;b;;b;;c;;;;;;;;;+;+;+;;;;;;
Dep. Genética;;;;;TR.034;0000000;;Ctenomys;minutus;m;165;16:00;26;11;1985;22;Tramandai(Lag Caieira);;Campo arenoso;Qbd4;2950;5010;6;Freitas & Zanchin;270;80;35;;39;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.021;46;76;32;12;;;+;+;-;-;;-;;-;48,16;43,56;16,45; 6,54;26,47;29,08;26,50; 9,05;12,23;17,99; 9,50;31,60;14,00;14,13; 7,76; 3,00; 3,93; 9,65;36,94;22,42;11.6;16.5;26.2;7.25;6.35;14.9;11.9;13.6;16.3;24.8;26.4;27.4;32.6;35.6;;;;b;bc;b;b;a;b;c;;a;b;;b;;c;;;;;;;;;;;;;;;;;
Dep. Genética;;caixa 11;A, B, C, H, L;;TR.035;0000000;;Ctenomys;minutus;m;250;16:20;27;11;1985;23;Tramandai(Lag Trairas);;Campo arenoso;Qbd3;2950;5015;12;Freitas & D. Moreira;265;80;32;;37;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.02;46;76;32;12;;;+;-;-;-;;-;;-;47,27;41,64;17,15; 7,31;27,72;28,72;26,24;10,08;11,92;18,56;10,62;31,58;13,39;13,47; 7,44; 3,02; 3,93; 9,62;36,67;22,23;11.3;16.4;24.4;2.3;6.4;14.15;16.2;13.85;16.6;25.1;26.4;25.6;31.9;35;;;;b;c;c;b;a;b;c;;a;ab;;b;;d;;;;;;;;;+;+;;;+;;;;
Dep. Genética;;;;;TR.036;0000000;;Ctenomys;minutus;m;110;16:50;27;11;1985;23;Tramandai(Lag Trairas);;Campo arenoso;Qbd3;2950;5015;12;Freitas & D. Moreira;215;63;30;;35;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.013;46;75;31;13;;;+;+;-;-;;-;;-;38,11;34,64;13,66; 5,42;24,11;23,97;22,58; 8,22; 9,41;17,57; 7,65;28,10;10,86;10,55; 6,48; 2,35; 3,10; 7,58;27,68;17,75;0;0;0;0;12;4.9;9.1;11.1;0;0;0;21.7;26.15;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dep. Genética;;;;;TR.037;0000000;;Ctenomys;minutus;f;200;17:10;27;11;1985;23;Tramandai(Lag Trairas);;Campo arenoso;Qbd3;2950;5015;12;Freitas & D.Moreira;261;80;31;;35;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.017;46;76;32;12;;;+;-;-;-;;-;;-;43,31;39,39;15,05; 6,15;24,63;25,66;25,30; 8,48; 9,83;16,50; 8,80;29,24;12,69;12,97; 6,89; 2,55; 3,55; 9,07;32,59;20,93;10.1;17.6;23.2;1.65;5.65;12.75;11;12.9;15.6;0;0;24.9;29.25;31.7;;;;b;e;b;b;a;ab;c;;a;b;;b;;c;;;;;;;;;;;;;;;;;
Dep. Genética;;caixa 11;A, G, H, L;;TR.038;0000000;;Ctenomys;minutus;m;250;18:00;27;11;1985;23;Tramandai(Lag Trairas);;Campo arenoso;Qbd3;2950;5015;12;Freitas & D. Moreira;285;86;36;;41;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.021;46;76;32;12;;;+;+;-;-;;-;;-;47,62;43,32;17,02; 7,06;27,70;29,38;25,98;10,20;12,18;17,88;10,51;31,14;14,07;13,85; 8,26; 3,03; 4,02; 9,82;35,78;22,54;12.3;17.5;25.8;2.35;6.8;14.8;13.8;14.9;16.8;25.8;26.4;27;32.3;35.6;;;;b;c;b;b;a;b;c;;a;b;;b;;c;;;;;;;;;+;+;+;;+;;;;
Dep. Genética;;caixa 11;C;;TR.039;0000000;;Ctenomys;minutus;f;200;18:00;27;11;1985;23;Tramandai(Lag Trairas);;Campo arenoso;Qbd3;2950;5015;12;Freitas & D. Moreira;245;70;31;;36;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;46;75;31;13;;;+;-;-;-;;-;;-;43,16;39,39;16,72; 6,01;25,01;26,77;23,68; 9,37;10,83;17,26; 9,88;28,78;12,34;12,63; 6,76; 2,62; 3,88; 9,63;35,61;20,60;10.6;17.9;26;1.5;5.65;13.7;9.6;13;14.4;23.1;24.05;25.7;29.5;31.4;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;+;;;;;;
Dep. Genética;;caixa 11;C, D;;TR.040;0000000;;Ctenomys;minutus;f;250;16:25;28;11;1985;24;Praia do Barco;;Dunas;Qbd4;2940;5000;6;Freitas & Oliveira;250;72;32;;36;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;46;76;32;12;;;-;-;-;-;;-;;-;45,00;43,80;17,60; 6,00;25,50;26,30;25,30; 9,60;10,70;17,00;10,00;30,20;12,80;16,50; 5,90; 2,95; 3,80; 9,85;35,05;21,60;12.2;18.9;27.7;1.7;5.5;13.8;9.8;12.9;15.6;24;25.5;25.4;30.4;33.3;;;;c;c;c;b;a;b;c;;a;b;;b;;c;;;;;;;;;+;+;+;;;;;;
Dep. Genética;;caixa 11;A, E, I;;TR.041;0000000;;Ctenomys;minutus;m;250;16:30;28;11;1985;24;Praia do Barco;;Dunas;Qbd4;2940;5000;6;Freitas & D. Moreira;270;28;31;;37;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0.022;46;76;32;12;;;-;+;-;-;;-;;-;48,55;46,40;17,80; 5,80;27,30;28,30;27,45;10,00;12,00;17,60;10,50;31,85;14,00;17,05; 6,60; 3,20; 3,90; 9,45;27,40;23,40;12.4;18.5;26.5;7.4;6.5;16;12;14.4;16.6;26.9;27.3;28.3;33.15;35.4;;;;b;e;a;b;a;b;c;;a;b;;b;;c;;;;;;;;;+;+;+;;+;;;;
